Trade_ID,Trade_Date,Symbol,Sector,Strategy,Market_Condition,Entry_Price,Exit_Price,Quantity,Profit,Emotion,Mistake,Stop_Loss,Target,Risk_Amount,Reward_Amount,Risk_Reward_Ratio,Confidence_Level,Trade_Followed_Plan,Win_Loss,Return_Percentage,Entry_Time,Trade_Duration_Minutes,Exit_Time
1,2025-08-26,HDFCBANK,Banking,RSI,Bearish,2089,2180.9,73,6708.7,Fear,Early Exit,2029.7,2202.73,59.3,113.73,1.92,Medium,Yes,Win,4.4,11:22,155,13:57
2,2025-09-16,TCS,IT,RSI,Volatile,1972,1903.37,48,-3294.24,Greed,Overtrading,1937.15,2035.56,34.85,63.56,1.82,High,Yes,Loss,-3.48,11:27,147,13:54
3,2026-04-30,INFY,IT,RSI,Bearish,3413,3405.06,17,-134.98,Greed,No Mistake,3375.94,3481.54,37.06,68.54,1.85,Medium,Yes,Loss,-0.23,09:32,58,10:30
4,2026-04-08,RELIANCE,Energy,BREAKOUT,Bearish,2991,2887.87,65,-6703.45,Confidence,No Mistake,2952.97,3093.07,38.03,102.07,2.68,Low,Yes,Loss,-3.45,10:34,209,14:03
5,2026-06-07,ICICIBANK,Banking,RSI,Bullish,1962,1903.39,60,-3516.6,Greed,No Mistake,1904.92,2069.8,57.08,107.8,1.89,High,Yes,Loss,-2.99,13:29,21,13:50
6,2026-05-01,INFY,IT,MACD,Volatile,2800,2753.84,48,-2215.68,Fear,Early Exit,2757.8,2886.58,42.2,86.58,2.05,Medium,Yes,Loss,-1.65,09:59,139,12:18
7,2025-07-18,TCS,IT,MACD,Volatile,2601,2579.55,40,-858.0,Confidence,No Mistake,2569.57,2682.61,31.43,81.61,2.6,Medium,Yes,Loss,-0.82,14:19,53,15:12
8,2026-03-14,RELIANCE,Energy,RSI,Bearish,1736,1735.87,69,-8.97,Fear,No Mistake,1697.22,1817.56,38.78,81.56,2.1,Medium,Yes,Loss,-0.01,11:28,99,13:07
9,2025-11-20,INFY,IT,BREAKOUT,Bullish,4781,4914.55,34,4540.7,Confidence,Late Entry,4653.92,4916.3,127.08,135.3,1.06,High,Yes,Win,2.79,14:28,219,18:07
10,2026-02-25,RELIANCE,Energy,BREAKOUT,Bearish,3721,3555.99,79,-13035.79,Greed,Overtrading,3644.0,3846.98,77.0,125.98,1.64,Medium,Yes,Loss,-4.43,14:31,107,16:18
